0 | 4 | S= | I=(0,0) | sp= | ip=1
0 | 4 | S= | I=(0,0) | sp= | ip=882
0 | 4 | S= | I=(0,0) | sp= | ip=883
0 | 6 | S= | I=(0,0) | sp= | ip=1
0 | 6 | S= | I=(0,0) | sp= | ip=882
0 | 6 | S= | I=(0,0) | sp= | ip=883
0 | 7 | S= | I=(0,0) | sp= | ip=1
0 | 7 | S= | I=(0,0) | sp= | ip=882
0 | 7 | S= | I=(0,0) | sp= | ip=883
0 | 8 | S= | I=(0,0) | sp= | ip=1
0 | 8 | S= | I=(0,0) | sp= | ip=882
0 | 8 | S= | I=(0,0) | sp= | ip=883
0 | 12 | S= | I=(0,0) | sp= | ip=1
0 | 12 | S= | I=(0,0) | sp= | ip=882
0 | 12 | S= | I=(0,0) | sp= | ip=883
