0,1,0 | 4,23,4 | S= | I=(0,0) | sp= | ip=1
0,1,0 | 6,33,4 | S= | I=(0,0) | sp= | ip=882
0,1,0 | 6,331,4 | S= | I=(0,0) | sp= | ip=882
0,1,0 | 6,43,4 | S= | I=(0,0) | sp= | ip=1
0,1,0 | 6,35,6 | S= | I=(0,0) | sp= | ip=882
0,1,0 | 6,45,6 | S= | I=(0,0) | sp= | ip=1
0,1,0 | 7,33,4 | S= | I=(0,0) | sp= | ip=883
0,1,0 | 7,43,4 | S= | I=(0,0) | sp= | ip=882
0,1,0 | 7,53,4 | S= | I=(0,0) | sp= | ip=1
0,1,0 | 7,45,6 | S= | I=(0,0) | sp= | ip=882
0,1,0 | 7,55,6 | S= | I=(0,0) | sp= | ip=1
0,1,0 | 8,43,4 | S= | I=(0,0) | sp= | ip=883
0,1,0 | 8,53,4 | S= | I=(0,0) | sp= | ip=882
0,1,0 | 8,45,6 | S= | I=(0,0) | sp= | ip=883
0,1,0 | 8,55,6 | S= | I=(0,0) | sp= | ip=882
