0,1,0,1,0 | 4,22,6,22,4 | S=(2,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,23,8,32,4 | S=(2,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,42,4 | S=(2,0) | I= | sp=883 | ip=
0,1,0,1,0 | 4,24,12,54,6 | S=(2,0) | I= | sp=882 | ip=
0,1,0,1,0 | 4,24,12,55,7 | S=(2,0) | I= | sp=882 | ip=
0,1,0,1,0 | 6,22,6,22,6 | S=(2,0) | I= | sp=912 | ip=
0,1,0,1,0 | 6,45,12,42,4 | S=(2,0) | I= | sp=882 | ip=
0,1,0,1,0 | 6,45,12,54,6 | S=(2,0) | I= | sp=1 | ip=
0,1,0,1,0 | 6,45,12,55,7 | S=(2,0) | I= | sp=1 | ip=
0,1,0,1,0 | 7,55,12,42,4 | S=(2,0) | I= | sp=882 | ip=
0,1,0,1,0 | 7,55,12,54,6 | S=(2,0) | I= | sp=1 | ip=
0,1,0,1,0 | 7,55,12,55,7 | S=(2,0) | I= | sp=1 | ip=
